taxonomy_key,names
baking soda,Natron|Natriumhydrogencarbonat
barley,Gerste
black mulberry,schwarze Maulbeere
bread,Brot
burger sauce,Burgersauce
camembert,Camembert
cape gooseberry,Kapstachelbeere|Physalis
chinese yam,chinesische Yamswurzel
chorizo,Chorizo
chub mackerel,Pazifische Makrele
cream cheese,Frischkäse
cucumber,Gurke
dried oregano,getrockneter Oregano
dulce de leche,Dulce de Leche|Milchkaramellcreme
harissa,Harissa
hulled barley,geschälte Gerste
husked sesame seed,geschälte Sesamsamen
jack mackerel,Bastardmakrele
lamb hearts,Lammherzen
lamb meat,Lammfleisch
paprika,Paprikapulver
pesto,Pesto
pork knuckle,Schweinshaxe
pork spare ribs,Schweinerippchen|Spareribs
potato flour,Kartoffelmehl
pumpkin pulp,Kürbisfruchtfleisch
red radish,rotes Radieschen
rye flour type 85,Roggenmehl Type 85
spirulina,Spirulina
tangerine,Mandarine
trout,Forelle|Regenbogenforelle
turkey fat,Putenfett
