taxonomy_key,names
atlantic wolffish,pez lobo atlántico
baking soda,bicarbonato de sodio
barley,cebada
black mulberry,mora negra
black radish,rábano negro
bosc pear,pera Bosc
boston butt,paleta de cerdo|aguja de cerdo
boysenberry,mora de Boysen
bread,pan
bulgur,bulgur
burbot,lota
burger sauce,salsa para hamburguesa
camembert,Camembert
celery stalk,tallo de apio
chicory root,raíz de achicoria
chinese yam,ñame chino
chocolate sauce,salsa de chocolate
chub mackerel,caballa del Pacífico
cream cheese,queso crema
dried carrot,zanahoria deshidratada
dried oregano,orégano seco
duck breast,pechuga de pato
goose meat,carne de ganso
grapefruit,pomelo|toronja
greengage,ciruela claudia
greenland halibut,fletán negro|halibut negro
harissa,harissa
hulled barley,cebada descascarillada
hummus,hummus
husked sesame seed,semilla de sésamo descascarillada
jack mackerel,jurel
jackfruit,yaca|jaca
lamb hearts,corazones de cordero
lamb meat,carne de cordero
morel,colmenilla|morilla
nutmeg,nuez moscada
nutritional yeast,levadura nutricional
paprika,pimentón
pesto,pesto
pimiento,pimiento
pomelo,pomelo|pampelmusa
pork fillet,solomillo de cerdo
pork knuckle,codillo de cerdo
pork spare ribs,costillas de cerdo
portobello,champiñón portobello
poultry liver,hígado de ave
pumpkin pulp,pulpa de calabaza
quail,codorniz
raspberry filling,relleno de frambuesa
red radish,rábano rojo
rye flour type 85,harina de centeno tipo 85
salsify,salsifí|escorzonera
shea oil,aceite de karité
spirulina,espirulina
split pea,guisante partido|arveja partida
sprouted lentils,lentejas germinadas
sprouted wheat,trigo germinado
sweet cherry,cereza dulce
tangerine,mandarina
tangerine juice,zumo de mandarina|jugo de mandarina
triticale,triticale
trout,trucha|trucha arcoíris
tub gurnard,rubio
turkey fat,grasa de pavo
turkey heart,corazón de pavo
turkey liver,hígado de pavo
turmeric powder,cúrcuma en polvo
wax bean,judía amarilla|ejote amarillo
wild blueberry,arándano silvestre
wild boar,jabalí
