taxonomy_key,names
acerola,acerola
baker s yeast,lievito di birra
baking soda,bicarbonato di sodio
barley,orzo
bosc pear,pera Bosc
bread,pane
camembert,Camembert
chicken thigh,coscia di pollo|fuso di pollo
chinese yam,igname cinese
chorizo,chorizo
dulce de leche,dulce de leche|crema al caramello di latte
elderberry,bacche di sambuco
gouda,Gouda
harissa,harissa
hummus,hummus
jack mackerel,sugarello
lamb meat,carne di agnello
lemon peel,scorza di limone
munster,Munster
paprika,paprica
pesto,pesto
pork spare ribs,costine di maiale
portobello,fungo portobello
rapeseed oil,olio di colza
shrimp,gambero
spirulina,spirulina
tangerine,mandarino
teff,teff
triticale,triticale
trout,trota|trota iridea
